Package,Files Changed,Insertions,Deletions
BPRMeth,4,5,5
BiRewire,7,46,4
BubbleTree,3,7,8
CSAR,3,89,104
CelliD,2,8,2
DeconRNASeq,14,111,116
GEOexplorer,1,1,0
GNET2,2,2,2
IMAS,2,6,4
IONiseR,6,11,9
MSPrep,1,2,2
MetaNeighbor,32,257,9
MethReg,2,3,2
MineICA,24,119,13
Organism.dplyr,3,5,6
RTCGA,27,313,261
RcisTarget,8,100,78
RgnTX,1,3,3
RiboProfiling,17,83,26
SGCP,2,2,2
SQLDataFrame,1,1,1
SigFuge,2,8,6
ballgown,3,3,3
barcodetrackR,4,23,23
basecallQC,14,83,120
biobroom,5,24,14
biodbChebi,10,422,360
ccrepe,3,60,178
debCAM,6,14,10
netZooR,41,139,116
netprioR,1,2,3
partCNV,2,45,7
rols,10,26,3
scviR,11,42,9
soGGi,7,8,375
tLOH,2,8,8
tidytof,4,11,8
